Path,Width,Height,Megabytes,Format
images/sections/events/building-on-quality-2025/planning25_092.jpg,5432,3621,13.88,JPEG
images/sections/events/building-on-quality-2025/planning25_114.jpg,5431,3621,13.56,JPEG
images/sections/events/building-on-quality-2025/planning25_576.jpg,5458,3639,12.86,JPEG
images/sections/events/building-on-quality-2025/planning25_011.jpg,5381,3587,12.43,JPEG
images/sections/events/building-on-quality-2025/planning25_125.jpg,5389,3593,12.23,JPEG
images/sections/events/building-on-quality-2025/planning25_024.jpg,5230,3487,11.92,JPEG
images/sections/events/building-on-quality-2025/planning25_275.jpg,5440,3627,11.87,JPEG
images/sections/events/building-on-quality-2025/planning25_016.jpg,5344,3563,11.79,JPEG
images/sections/events/building-on-quality-2025/planning25_025.jpg,5226,3484,11.45,JPEG
images/sections/events/building-on-quality-2025/planning25_183.jpg,5456,3637,11.39,JPEG
images/sections/events/building-on-quality-2025/planning25_037.jpg,5378,3585,11.10,JPEG
images/sections/events/building-on-quality-2025/planning25_014.jpg,5285,3523,10.98,JPEG
images/sections/events/building-on-quality-2025/planning25_069.jpg,5447,3631,10.98,JPEG
images/sections/events/kayamut-2022/Screenshot 2025-02-12 at 12.56.56.png,3164,2072,10.93,PNG
images/sections/events/building-on-quality-2025/planning25_026.jpg,5262,3508,10.46,JPEG
images/sections/events/kayamut/heschel25_002.jpg,5400,3600,10.15,JPEG
images/sections/events/building-on-quality-2025/planning25_072.jpg,5379,3586,9.97,JPEG
images/sections/events/kayamut/heschel25_031.jpg,5459,3639,9.89,JPEG
images/sections/events/kayamut/heschel25_030.jpg,5345,3563,9.68,JPEG
images/sections/events/building-on-quality-2025/planning25_066.jpg,5294,3529,9.66,JPEG
images/sections/events/building-on-quality-2025/planning25_027.jpg,5382,3588,9.38,JPEG
images/sections/events/kayamut/heschel25_081.jpg,5288,3525,9.25,JPEG
images/sections/illustrations/איש_בריטי1-Recovered.jpg,2340,4160,9.23,JPEG
images/sections/illustrations/איור_וארץ_עיר-08.png,2251,2250,8.96,PNG
images/sections/events/building-on-quality-2025/planning25_021.jpg,5375,3583,8.92,JPEG
images/sections/events/kayamut/heschel25_242.jpg,5337,3558,8.62,JPEG
images/sections/events/ofek/ASI0008.jpg,6720,4480,8.38,JPEG
images/sections/events/kayamut/heschel25_007.jpg,5388,3592,8.37,JPEG
images/sections/events/kayamut/heschel25_018.jpg,5361,3574,8.32,JPEG
images/sections/events/kayamut/heschel25_009.jpg,5375,3583,8.31,JPEG
images/sections/events/building-on-quality-2025/planning25_055.jpg,5194,3463,8.25,JPEG
images/sections/events/kayamut/heschel25_005.jpg,5433,3622,8.00,JPEG
images/sections/events/kayamut/heschel25_010.jpg,5449,3633,7.97,JPEG
images/sections/events/building-on-quality-2025/planning25_441.jpg,5290,3527,7.90,JPEG
images/sections/events/kayamut/heschel25_001.jpg,5461,3641,7.23,JPEG
images/sections/events/kayamut/heschel25_004.jpg,5341,3561,6.97,JPEG
images/sections/events/kayamut/heschel25_035.jpg,5424,3616,6.97,JPEG
images/sections/events/building-on-quality-2025/planning25_439.jpg,5100,3400,6.89,JPEG
images/sections/illustrations/Pepole_done1.jpg,3508,4961,5.46,JPEG
images/sections/illustrations/1.jpg,5184,3456,5.18,JPEG
images/sections/illustrations/2.jpg,5184,3456,4.54,JPEG
images/sections/illustrations/3.jpg,5184,3456,4.15,JPEG
images/sections/illustrations/קטנים-35.jpg,2251,2251,3.86,JPEG
images/sections/events/kayamut-2022/Screenshot 2025-02-12 at 12.56.16.png,1480,2218,3.73,PNG
images/sections/branding/matanya-bread/1.png,2048,1536,3.66,PNG
images/sections/branding/gaya/גיה-37.jpg,2251,2251,3.48,JPEG
images/sections/branding/eretz-ir/15.jpg,2500,2500,3.10,JPEG
images/sections/illustrations/עפיפון-39.jpg,2251,2251,2.89,JPEG
images/sections/illustrations/2דדים-10-10.jpg,3196,4340,2.71,JPEG
images/sections/branding/gaya/גיה-35.jpg,2251,2251,2.61,JPEG
images/sections/events/autojob/IMG_2620.jpg,3024,4032,2.52,JPEG
images/sections/events/jewish-agency/_MG_9570.jpg,2500,1667,2.35,JPEG
images/sections/events/jewish-agency/_MG_9536.jpg,2500,1667,2.34,JPEG
images/sections/events/jewish-agency/_MG_9705-2.jpg,2500,1667,2.32,JPEG
images/sections/branding/gaya/גיה-36.jpg,2251,2251,2.31,JPEG
images/sections/branding/eretz-ir/12.jpg,2500,2500,2.25,JPEG
images/sections/branding/eretz-ir/16.jpg,2500,2500,2.19,JPEG
images/sections/events/autojob/IMG_2629.jpg,4032,3024,2.16,JPEG
images/sections/events/autojob/IMG_2638.jpg,3024,4032,2.13,JPEG
images/sections/events/autojob/IMG_2631.jpg,4032,3024,2.09,JPEG
images/sections/branding/athena/אתנה-03.jpg,2251,2250,2.06,JPEG
images/sections/branding/eretz-ir/סטיישנרי.jpg,1200,1200,2.04,JPEG
images/sections/events/autojob/IMG_2628.jpg,3024,4032,2.04,JPEG
images/sections/branding/eretz-ir/4.jpg,2500,2500,2.03,JPEG
images/sections/events/jewish-agency/_MG_0012-2.jpg,2500,1667,2.03,JPEG
images/sections/events/jewish-agency/_MG_9517.jpg,2500,1667,2.02,JPEG
images/sections/branding/athena/אתנה-02.jpg,2251,2250,1.96,JPEG
images/sections/events/autojob/IMG_2633.jpg,4032,3024,1.96,JPEG
images/sections/branding/eretz-ir/13.jpg,2500,2500,1.82,JPEG
images/sections/branding/gaya/גיה-38.jpg,2251,2251,1.79,JPEG
images/sections/events/jewish-agency/_MG_9519.jpg,2500,1667,1.69,JPEG
images/sections/events/jewish-agency/_MG_9515.jpg,2500,1667,1.67,JPEG
images/sections/events/jewish-agency/_MG_9541.jpg,2500,1667,1.58,JPEG
images/sections/branding/eretz-ir/14.jpg,2500,2500,1.55,JPEG
images/sections/branding/eretz-ir/17.jpg,2500,2500,1.51,JPEG
images/sections/events/jewish-agency/_MG_9656.jpg,2500,1667,1.49,JPEG
images/sections/events/jewish-agency/_MG_9509.jpg,2500,1667,1.46,JPEG
images/sections/events/jewish-agency/_MG_9655.jpg,2500,1667,1.46,JPEG
images/sections/branding/athena/אתנה-01.jpg,2250,2250,1.36,JPEG
images/sections/events/kayamut-community-2024/1.jpg,2048,1365,1.26,JPEG
images/sections/illustrations/דני-09.jpg,1080,1080,1.26,JPEG
images/sections/illustrations/4.jpg,2000,1544,1.24,JPEG
images/sections/events/jewish-agency/_MG_9507.jpg,2500,1667,1.20,JPEG
images/sections/illustrations/דני-07.jpg,1080,1080,1.17,JPEG
images/sections/illustrations/קטנים-36.jpg,2251,2251,1.13,JPEG
images/sections/events/health-il-2019/4.jpg,3162,1326,1.09,JPEG
images/sections/branding/eretz-ir/1.jpg,2500,2500,1.03,JPEG
images/sections/events/kayamut-2022/476200488_1057424056382606_44256041989446229_n.jpg,1600,1067,0.95,JPEG
images/sections/events/jewish-agency/_MG_9513.jpg,2500,1667,0.87,JPEG
images/sections/branding/oasis/4מוקאפ_מחשב.jpg,6000,3200,0.85,JPEG
images/sections/events/kayamut-2022/קיימות_22.jpg,1600,1067,0.72,JPEG
images/sections/events/kayamut-community-2024/1-wide.webp,2000,1333,0.71,WEBP
images/sections/illustrations/דני-10.jpg,1080,1080,0.69,JPEG
images/sections/events/kayamut-2022/476748218_1057423856382626_118652543843709729_n.jpg,1600,1067,0.65,JPEG
images/sections/illustrations/דני-12.jpg,1080,1080,0.65,JPEG
images/sections/illustrations/דני-08.jpg,1080,1080,0.64,JPEG
images/sections/branding/gaya/37-wide.webp,2000,2000,0.62,WEBP
images/sections/events/kayamut-community-2024/466392176_996461395812206_8663560867627433290_n.jpg,2048,1365,0.62,JPEG
images/sections/events/kayamut-community-2024/466913029_996461442478868_2471575273199627420_n.jpg,2048,1365,0.61,JPEG
images/sections/events/kayamut-community-2024/466971795_996460175812328_307130429571726631_n.jpg,2048,1365,0.61,JPEG
images/sections/events/health-il-2019/0.jpg,2048,1364,0.60,JPEG
images/sections/events/ofek/ASI0400_websize (1).jpg,2048,1365,0.60,JPEG
