"Path","Width","Height","Megabytes","Format"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_092.jpg","5432","3621","13.24","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_114.jpg","5431","3621","12.93","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_576.jpg","5458","3639","12.27","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_011.jpg","5381","3587","11.86","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_125.jpg","5389","3593","11.66","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_024.jpg","5230","3487","11.37","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_275.jpg","5440","3627","11.32","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_016.jpg","5344","3563","11.24","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_025.jpg","5226","3484","10.92","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_183.jpg","5456","3637","10.86","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_037.jpg","5378","3585","10.58","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_014.jpg","5285","3523","10.47","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_069.jpg","5447","3631","10.47","Jpeg"
"bananas-web\images\sections\events\kayamut-2022\Screenshot 2025-02-12 at 12.56.56.png","3164","2072","10.43","Png"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_026.jpg","5262","3508","9.97","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_002.jpg","5400","3600","9.68","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_072.jpg","5379","3586","9.51","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_031.jpg","5459","3639","9.43","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_030.jpg","5345","3563","9.23","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_066.jpg","5294","3529","9.21","Jpeg"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_027.jpg","5382","3588","8.94","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_081.jpg","5288","3525","8.82","Jpeg"
"bananas-web\images\sections\illustrations\איש_בריטי1-Recovered.jpg","2340","4160","8.8","Jpeg"
"bananas-web\images\sections\illustrations\איור_וארץ_עיר-08.png","2251","2250","8.54","Png"
"bananas-web\images\sections\events\building-on-quality-2025\planning25_021.jpg","5375","3583","8.51","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_242.jpg","5337","3558","8.23","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_007.jpg","5388","3592","7.99","Jpeg"
"bananas-web\images\sections\events\ofek\ASI0008.jpg","6720","4480","7.99","Jpeg"
"bananas-web\images\sections\events\kayamut\heschel25_009.jpg","5375","3583","7.93","Jpeg"
